Cap,#,Player,DOB,HT,WT,Games (W-D-L),Goals,Seasons,Debut,Last
1141,11,"Castagna, Jason",1996-07-12,181cm,82kg,134 (88-2-44),127,2016-2022,19y 293d,26y 39d
303,6,"Judkins, Stan",1907-10-04,166cm,61kg,133 (100-2-31),5,1928-1936,20y 242d,28y 330d
306,11,"Foster, Bert",1906-08-19,185cm,89kg,133 (93-1-39),65,1928-1936,21y 358d,30y 17d
900,30,"Free, Tony",1969-06-27,178cm,79kg,133 (46-0-87),46,1987-1996,18y 49d,26y 305d
177,10,"Smith, Jimmy",1899-01-25,178cm,76kg,132 (76-1-55),40,1917-1926,18y 205d,27y 201d
649,40,"Brown, Billy",1942-10-09,171cm,64kg,130 (78-1-51),124,1963-1971,20y 207d,28y 344d
1000,5,"Ottens, Brad",1980-01-25,202cm,108kg,129 (53-0-76),152,1998-2004,18y 63d,24y 188d
65,3,"Maybury, Percy",1891-09-24,175cm,73kg,128 (45-1-82),61,1910-1919,18y 232d,28y 17d
165,29,"Hislop, Max",1895-08-25,178cm,76kg,128 (77-0-51),4,"1917-1924, 1927",21y 260d,31y 346d
290,14,"Baggott, Jack",1906-07-20,182cm,76kg,128 (95-2-31),140,1927-1935,20y 284d,29y 70d
1152,29,"Bolton, Shai",1998-12-08,175cm,77kg,127 (68-4-55),151,2017-2024,18y 163d,25y 205d
562,11,"Simpson, Tom",1933-04-06,174cm,74kg,126 (37-2-87),6,1956-1963,23y 15d,30y 154d
674,17,"Richardson, Barry",1946-01-22,191cm,83kg,125 (88-1-36),134,1965-1974,19y 87d,28y 249d
830,13,"Egan, Phil",1963-02-09,180cm,80kg,125 (49-0-76),117,1982-1990,19y 39d,27y 190d
985,16,"Holland, Ben",1977-05-10,198cm,100kg,125 (62-0-63),124,1996-2003,18y 339d,26y 106d
1154,34,"Graham, Jack",1998-02-25,181cm,82kg,125 (75-4-46),49,2017-2024,19y 176d,26y 126d
444,21,"Fraser, Don",1922-10-24,183cm,87kg,124 (65-1-58),125,1945-1952,22y 179d,29y 311d
480,3,"Rowe, Havel",1928-05-08,178cm,73kg,124 (60-2-62),43,1948-1957,20y 7d,29y 80d
904,4,"Lambert, Craig",1968-10-05,178cm,84kg,123 (33-0-90),53,1988-1993,19y 182d,24y 327d
1150,3,"Prestia, Dion",1992-10-12,175cm,82kg,123 (78-3-42),41,2017-2024,24y 162d,31y 238d
377,2,"Edwards, Bert",1914-12-22,173cm,75kg,122 (81-1-40),22,1938-1945,23y 150d,30y 218d
1157,7,"Baker, Liam",1998-01-27,173cm,72kg,122 (67-4-51),50,2018-2024,20y 182d,26y 155d
308,4,"Sheahan, Maurie",1905-12-24,180cm,91kg,121 (82-2-37),3,1929-1936,23y 124d,30y 256d
781,7,"Malthouse, Mick",1953-08-17,180cm,76kg,121 (75-2-44),10,1976-1983,22y 321d,29y 284d
634,24,"Barrot, Bill",1944-05-06,180cm,82kg,120 (62-0-58),91,1961-1970,17y 105d,26y 94d
817,34,"Landy, Graeme",1954-05-31,183cm,85kg,120 (62-0-58),38,1979-1986,25y 65d,32y 91d
1085,29,"Vickery, Ty",1990-05-31,200cm,100kg,119 (56-2-61),158,2009-2016,19y 13d,26y 75d
416,10,"Burge, Fred",1923-09-06,174cm,75kg,118 (67-1-50),105,1942-1950,18y 322d,26y 354d
647,9,"Northey, John",1943-06-29,175cm,69kg,118 (80-1-37),192,1963-1970,19y 295d,27y 54d
768,11,"Monteath, Bruce",1955-09-20,188cm,85kg,118 (68-2-48),198,1975-1980,19y 197d,25y 7d
832,17,"Rioli, Maurice",1957-09-01,175cm,76kg,118 (48-0-70),80,1982-1987,24y 200d,29y 361d
983,29,"Torney, Jason",1977-06-16,187cm,84kg,118 (59-1-58),16,1995-2002,18y 28d,25y 76d
325,23,"Strang, Gordon",1908-02-10,185cm,83kg,116 (86-1-29),108,"1931-1936, 1938",23y 81d,30y 198d
485,7,"Cooke, Allan",1930-04-09,185cm,85kg,116 (54-1-61),54,1949-1958,19y 21d,28y 24d
1035,17,"Johnson, Kane",1978-03-15,187cm,85kg,116 (39-2-75),32,2003-2008,25y 13d,30y 169d
695,24,"Bond, Graeme",1949-11-27,175cm,76kg,115 (78-1-36),61,"1967-1973, 1975-1977",17y 209d,27y 126d
775,5,"Dunne, Emmett",1956-06-11,197cm,99kg,115 (69-2-44),56,1976-1983,19y 304d,27y 77d
11,10,"Mahoney, Bill",1885-01-01,163cm,67kg,114 (44-1-69),53,"1908-1911, 1913-1915, 1920",23y 122d,35y 240d
151,16,"Harley, Frank",1895-06-29,178cm,73kg,114 (60-1-53),66,"1915-1917, 1919-1925",20y 46d,30y 75d
700,5,"Hunt, Rex",1949-03-07,191cm,97kg,113 (82-1-30),121,1968-1974,19y 65d,25y 72d
1026,15,"Pettifer, Kayne",1982-01-22,183cm,81kg,113 (41-1-71),132,2001-2009,19y 152d,27y 134d
346,19,"Symons, Jack",1912-05-11,185cm,93kg,111 (70-1-40),71,1934-1944,22y 57d,32y 2d
74,11,"Reeves, Syd",1891-08-29,177cm,67kg,110 (33-2-75),7,1910-1919,18y 335d,28y 15d
736,38,"Morris, Kevin",1950-08-20,180cm,84kg,110 (75-0-35),71,1971-1976,20y 298d,26y 8d
910,26,"Leys, Brian",1968-02-07,190cm,94kg,110 (37-0-73),19,1988-1994,20y 90d,26y 188d
379,11,"Priestley, Charlie",1916-06-22,180cm,85kg,109 (72-0-37),12,1938-1947,22y 10d,31y 69d
1056,30,"Tambling, Richard",1986-09-12,180cm,80kg,108 (41-3-64),61,2005-2010,18y 231d,23y 309d
354,27,"Hull, Ian",1916-06-20,183cm,88kg,107 (67-0-40),42,"1936-1942, 1945",19y 317d,28y 361d
387,23,"Bawden, Bob",1917-02-28,191cm,93kg,107 (71-1-35),107,1939-1945,22y 123d,28y 185d
1070,28,"King, Jake",1984-03-26,178cm,82kg,107 (43-4-60),79,2007-2014,23y 25d,30y 10d
14,2,"Ohlson, Ted",1886-10-15,177cm,84kg,105 (37-1-67),36,1908-1915,21y 200d,28y 233d
349,15,"Cotter, Jack",1915-01-08,180cm,80kg,105 (67-1-37),,1935-1941,20y 165d,26y 241d
1065,16,"McGuane, Luke",1987-02-12,192cm,90kg,105 (36-4-65),39,2006-2013,19y 90d,26y 186d
1066,35,"White, Matt",1987-04-15,180cm,82kg,105 (44-4-57),54,2006-2013,19y 49d,26y 138d
517,33,"Cations, Allan",1932-10-10,185cm,87kg,104 (41-0-63),8,"1952-1957, 1959",19y 213d,26y 239d
840,6,"Palm, David",1958-07-07,179cm,81kg,104 (38-0-66),38,1983-1988,24y 262d,30y 23d
1103,30,"Conca, Reece",1992-08-12,181cm,84kg,104 (58-1-45),23,2011-2018,18y 224d,26y 40d
595,12,"Richardson, Alan",1940-11-19,184cm,96kg,103 (49-2-52),30,1959-1969,18y 150d,28y 186d
319,25,"Zschech, Eric",1909-06-19,174cm,73kg,102 (78-1-23),16,1930-1935,20y 325d,26y 101d
341,22,"Guinane, Danny",1911-05-18,179cm,100kg,102 (65-0-37),1,"1934-1939, 1942-1943",22y 352d,32y 81d
368,18,"Crane, Jack",1913-08-26,191cm,84kg,102 (66-0-36),25,1937-1942,23y 262d,28y 361d
564,26,"Saddington, Col",1937-06-26,180cm,89kg,102 (34-1-67),10,1956-1962,18y 307d,25y 53d
599,19,"Grimmond, Dick",1938-07-06,179cm,73kg,102 (27-2-73),6,1959-1964,20y 321d,26y 47d
1024,27,"Krakouer, Andrew",1983-02-04,176cm,76kg,102 (34-0-68),102,2001-2007,18y 97d,24y 174d
309,33,"Heifner, Fred",1909-08-23,180cm,86kg,100 (73-2-25),19,1929-1935,19y 254d,26y 36d
959,35,"Bond, Chris",1969-01-26,178cm,81kg,100 (50-1-49),32,1993-1997,24y 87d,28y 216d
858,23,"Poole, Trevor",1964-04-23,188cm,90kg,99 (30-0-69),56,1984-1989,20y 47d,25y 90d
1013,20,"Hall, Ray",1980-10-27,196cm,96kg,99 (41-0-58),28,"1999, 2001-2006",18y 304d,25y 303d
952,21,"Bulluss, Paul",1970-01-23,194cm,95kg,97 (42-1-54),20,1993-1998,23y 64d,28y 219d
280,7,"Weidner, Harry",1907-03-03,175cm,72kg,96 (67-1-28),128,1926-1932,19y 66d,25y 128d
401,31,"Maguire, Leo",1920-06-23,188cm,97kg,96 (55-1-40),4,1941-1948,21y 12d,28y 73d
598,30,"Cameron, Barry",1939-06-06,184cm,87kg,96 (38-0-58),21,1959-1966,19y 344d,27y 82d
737,9,"McKellar, Craig",1949-12-08,196cm,93kg,96 (70-1-25),25,1971-1975,21y 207d,25y 272d
1158,21,"Balta, Noah",1999-10-23,194cm,100kg,96 (52-2-42),35,2019-2024,19y 149d,24y 251d
107,14,"Moffatt, Dave",1892-05-18,188cm,92kg,95 (42-0-53),25,"1912-1917, 1919-1920",20y 56d,28y 137d
491,1,"Nix, John",1931-12-25,178cm,79kg,95 (44-0-51),18,1949-1956,17y 189d,24y 174d
808,2,"Wiley, Robert",1955-03-24,178cm,80kg,95 (57-1-37),127,1979-1983,24y 14d,28y 156d
198,1,"Minogue, Dan",1891-09-04,180cm,87kg,94 (55-1-38),38,1920-1925,28y 240d,33y 282d
555,28,"Langridge, Ted",1936-10-22,171cm,76kg,94 (29-2-63),149,1955-1962,18y 211d,25y 307d
458,27,"Stokes, Ray",1924-05-21,180cm,84kg,93 (56-1-36),23,1946-1951,21y 362d,27y 103d
1033,31,"Hyde, Chris",1982-08-09,186cm,83kg,93 (26-1-66),39,2002-2008,19y 330d,25y 324d
1054,5,"Simmonds, Troy",1978-07-13,197cm,99kg,93 (33-1-59),66,2005-2010,26y 257d,31y 326d
551,14,"McDonald, Ron",1933-08-12,189cm,83kg,92 (33-2-57),84,1955-1960,21y 254d,27y 1d
882,31,"Bower, Brendan",1966-08-04,188cm,78kg,92 (29-0-63),19,1986-1991,19y 265d,25y
1025,24,"Coughlan, Mark",1982-04-20,185cm,85kg,92 (32-1-59),39,"2001-2006, 2009",19y 37d,27y 130d
971,1,"Gale, Michael",1966-12-21,188cm,93kg,91 (47-1-43),20,1994-1998,27y 95d,31y 252d
966,7,"Prescott, Ashley",1972-09-11,186cm,88kg,90 (47-1-42),15,1993-1998,20y 345d,25y 353d
1166,50,"Pickett, Marlion",1992-01-06,184cm,84kg,90 (43-4-43),26,2019-2024,27y 265d,32y 147d
137,2,"Bayliss, George",1895-03-30,179cm,75kg,89 (54-0-35),217,"1914, 1916-1923",19y 145d,28y 148d
208,11,"Morris, Mel",1895-06-08,178cm,76kg,89 (49-1-39),148,1921-1926,25y 340d,31y 74d
529,35,"Davie, Brian",1934-08-31,183cm,84kg,89 (35-1-53),36,1953-1959,18y 244d,24y 349d
558,38,"Morris, Peter",1933-07-26,178cm,73kg,89 (31-2-56),103,1955-1960,21y 355d,27y 32d
597,10,"Gahan, Graeme",1942-01-10,185cm,86kg,89 (29-2-58),7,1959-1966,17y 119d,24y 215d
928,27,"Maxfield, Stuart",1972-04-09,178cm,82kg,89 (35-1-53),65,1990-1995,18y 34d,23y 167d
1159,19,"Lynch, Tom",1992-10-31,199cm,99kg,89 (54-3-32),208,2019-2024,26y 141d,31y 228d
489,31,"Dillon, Kevin",1924-12-23,175cm,77kg,88 (34-1-53),4,1949-1955,24y 163d,30y 172d
675,28,"Strang, Geoff",1944-05-09,185cm,86kg,88 (59-1-28),,1965-1971,20y 345d,27y 69d
698,7,"Walsh, Wayne",1946-05-07,178cm,76kg,88 (61-2-25),30,"1968, 1972-1975, 1977-1978",21y 349d,32y 20d
735,1,"Cumming, Daryl",1951-05-15,175cm,72kg,88 (62-1-25),64,1971-1976,20y 14d,25y 28d
128,32,"Hughes, Frank",1894-02-26,175cm,70kg,87 (53-0-34),51,"1914-1915, 1919-1923",20y 72d,29y 82d
794,14,"Tempany, Bruce",1958-12-22,189cm,85kg,87 (50-2-35),33,1977-1983,18y 248d,24y 248d
1047,40,"Moore, Kelvin",1984-03-25,190cm,84kg,87 (22-1-64),12,"2004-2010, 2012",20y 72d,28y 125d
1111,38,"Morris, Steven",1988-12-31,185cm,83kg,87 (47-1-39),12,2012-2017,23y 89d,28y 120d
383,6,"Scott, Jack",1915-10-27,188cm,89kg,86 (55-1-30),43,1939-1945,23y 177d,29y 281d
743,6,"Sproule, Paul",1944-12-16,179cm,76kg,86 (61-1-24),93,1972-1975,27y 128d,30y 278d
134,6,"Hede, Reg",1894-10-09,173cm,66kg,85 (41-1-43),1,1914-1921,19y 254d,26y 245d
979,30,"Bourke, David",1976-01-09,194cm,80kg,85 (47-0-38),18,"1995-1997, 1999-2001",19y 90d,25y 249d
1014,15,"Cameron, Leon",1972-09-02,185cm,82kg,84 (39-0-45),40,2000-2003,27y 188d,30y 363d
1102,11,"Batchelor, Jake",1992-02-13,188cm,88kg,84 (45-2-37),4,2011-2017,19y 39d,25y 90d
2,23,"Bowden, Bob",1887-03-29,168cm,68kg,83 (27-1-55),5,1908-1912,21y 34d,25y 155d
392,13,"Waldron, Bernie",1920-03-20,180cm,80kg,83 (58-0-25),22,1940-1945,20y 80d,25y 158d
1082,26,"Nahas, Robin",1987-11-10,176cm,72kg,83 (29-3-51),100,2009-2013,21y 145d,25y 273d
55,19,"McCashney, Frank",1890-08-09,174cm,72kg,82 (25-0-57),8,1909-1915,19y 19d,24y 356d
216,20,"Hayes, Doug",1896-09-16,163cm,60kg,82 (42-0-40),62,1922-1928,25y 267d,31y 253d
1008,1,"Hilton, Rory",1979-04-15,186cm,92kg,82 (37-0-45),53,1999-2005,19y 346d,26y 135d
1040,7,"Brown, Nathan",1978-02-10,181cm,80kg,82 (28-1-53),143,2004-2009,26y 45d,31y 199d
314,20,"Hunter, Maurie",1904-03-05,180cm,73kg,81 (60-0-21),159,1929-1933,25y 116d,29y 202d
433,7,"Cook, Fred",1922-12-04,180cm,77kg,81 (47-2-32),11,1944-1949,21y 154d,26y 231d
750,12,"McGhie, Robert",1951-08-18,192cm,86kg,81 (52-2-27),,1973-1978,21y 232d,26y 275d
890,7,"Mitchell, Michael",1961-11-25,172cm,66kg,81 (24-0-57),103,1987-1991,25y 124d,29y 272d
214,32,"Rudolph, George",1901-04-29,185cm,92kg,80 (48-1-31),61,"1922, 1924-1928",21y 28d,27y 153d
662,39,"Jewell, Tony",1943-12-08,185cm,83kg,80 (53-1-26),16,1964-1970,20y 139d,26y 208d
686,7,"Moore, Eric",1948-04-29,183cm,87kg,80 (55-1-24),94,1966-1972,18y 29d,23y 362d
1110,20,"Maric, Ivan",1986-01-04,200cm,102kg,80 (46-1-33),33,2012-2016,26y 85d,30y 179d
721,25,"Leech, Eric",1951-05-21,189cm,91kg,79 (53-0-26),,1970-1979,19y 16d,28y 12d
1148,22,"Caddy, Josh",1992-09-28,186cm,87kg,79 (56-0-23),88,2017-2021,24y 176d,28y 307d
197,3,"McIntosh, Norm",1890-03-03,175cm,73kg,78 (46-0-32),3,1920-1924,30y 59d,34y 208d
727,15,"Roberts, Brian",1945-04-28,199cm,113kg,78 (59-1-18),34,1971-1975,25y 340d,30y 12d
728,2,"Stewart, Ian",1943-07-14,180cm,78kg,78 (54-1-23),55,1971-1975,27y 263d,31y 314d
1018,14,"Fiora, Aaron",1981-04-19,186cm,79kg,78 (33-0-45),25,2000-2004,19y 5d,23y 118d
547,17,"Dummett, Bob",1935-10-03,188cm,72kg,77 (35-0-42),200,1954-1961,18y 238d,25y 204d
867,40,"James, Stephen",1965-03-31,188cm,88kg,77 (28-0-49),78,1985-1990,20y 6d,25y 134d
1059,2,"Thursfield, Will",1986-04-19,191cm,85kg,77 (24-3-50),,2005-2011,19y 74d,25y 138d
17,18,"Schmidt, Billy",1887-12-29,170cm,70kg,75 (27-1-47),71,"1908-1911, 1921",20y 125d,33y 206d
905,22,"Nichols, Trent",1969-04-07,173cm,77kg,75 (25-0-50),65,"1988-1991, 1997-1998",18y 363d,29y 145d
974,5,"Tape, Jamie",1974-04-05,188cm,89kg,75 (39-1-35),4,1994-1997,19y 355d,23y 112d
977,8,"Merenda, Mark",1975-10-29,181cm,81kg,75 (42-0-33),62,1994-2000,18y 227d,24y 139d
1115,25,"Chaplin, Troy",1986-02-23,195cm,97kg,75 (44-0-31),5,2013-2016,27y 33d,30y 101d
126,16,"Bettles, Artie",1891-03-25,178cm,76kg,74 (33-1-40),,1914-1920,23y 38d,29y 156d
277,16,"Lilburne, Dooley",1902-08-09,182cm,83kg,74 (49-1-24),20,1926-1929,23y 265d,27y 50d
941,22,"Bower, Nathan",1972-06-08,185cm,80kg,74 (36-1-37),22,1991-1998,19y 84d,26y 69d
986,20,"Harrison, Ben",1975-01-17,191cm,96kg,74 (36-0-38),39,1996-2000,21y 95d,25y 202d
1029,10,"Stafford, Greg",1974-08-27,204cm,106kg,74 (29-0-45),83,2002-2006,27y 213d,32y 6d
172,15,"Weatherill, Bob",1897-07-20,180cm,70kg,72 (39-0-33),44,1917-1923,19y 352d,25y 303d
879,17,"Smith, Craig",1967-01-27,186cm,83kg,72 (18-0-54),23,"1986-1987, 1989-1993",19y 68d,26y 109d
1038,25,"Schulz, Jay",1985-04-18,193cm,94kg,71 (24-2-45),58,2003-2009,18y 22d,24y 21d
22,6,"Gibson, George",1885-06-23,178cm,75kg,70 (22-1-47),6,1908-1912,22y 328d,27y 69d
